2024-06-10 16:42:42 DEBUG logging:152 - Logging Provider: org.jboss.logging.Log4j2LoggerProvider
2024-06-10 16:42:42 INFO  LogHelper:31 - HHH000204: Processing PersistenceUnitInfo [name: course-management]
2024-06-10 16:42:42 INFO  Version:44 - HHH000412: Hibernate ORM core version 6.5.0.Final
2024-06-10 16:42:42 INFO  RegionFactoryInitiator:50 - HHH000026: Second-level cache disabled
2024-06-10 16:42:42 DEBUG BasicTypeRegistry:396 - Adding type registration boolean -> org.hibernate.type.BasicTypeReference@2262b621
2024-06-10 16:42:42 DEBUG BasicTypeRegistry:396 - Adding type registration boolean -> org.hibernate.type.BasicTypeReference@2262b621
2024-06-10 16:42:42 DEBUG BasicTypeRegistry:396 - Adding type registration java.lang.Boolean -> org.hibernate.type.BasicTypeReference@2262b621
2024-06-10 16:42:42 DEBUG BasicTypeRegistry:396 - Adding type registration numeric_boolean -> org.hibernate.type.BasicTypeReference@7e928e2f
2024-06-10 16:42:42 DEBUG BasicTypeRegistry:396 - Adding type registration org.hibernate.type.NumericBooleanConverter -> org.hibernate.type.BasicTypeReference@7e928e2f
2024-06-10 16:42:42 DEBUG BasicTypeRegistry:396 - Adding type registration true_false -> org.hibernate.type.BasicTypeReference@f667fe
2024-06-10 16:42:42 DEBUG BasicTypeRegistry:396 - Adding type registration org.hibernate.type.TrueFalseConverter -> org.hibernate.type.BasicTypeReference@f667fe
2024-06-10 16:42:42 DEBUG BasicTypeRegistry:396 - Adding type registration yes_no -> org.hibernate.type.BasicTypeReference@788fcafb
2024-06-10 16:42:42 DEBUG BasicTypeRegistry:396 - Adding type registration org.hibernate.type.YesNoConverter -> org.hibernate.type.BasicTypeReference@788fcafb
2024-06-10 16:42:42 DEBUG BasicTypeRegistry:396 - Adding type registration byte -> org.hibernate.type.BasicTypeReference@4febb875
2024-06-10 16:42:42 DEBUG BasicTypeRegistry:396 - Adding type registration byte -> org.hibernate.type.BasicTypeReference@4febb875
2024-06-10 16:42:42 DEBUG BasicTypeRegistry:396 - Adding type registration java.lang.Byte -> org.hibernate.type.BasicTypeReference@4febb875
2024-06-10 16:42:42 DEBUG BasicTypeRegistry:396 - Adding type registration binary -> org.hibernate.type.BasicTypeReference@25e2a451
2024-06-10 16:42:42 DEBUG BasicTypeRegistry:396 - Adding type registration byte[] -> org.hibernate.type.BasicTypeReference@25e2a451
2024-06-10 16:42:42 DEBUG BasicTypeRegistry:396 - Adding type registration [B -> org.hibernate.type.BasicTypeReference@25e2a451
2024-06-10 16:42:42 DEBUG BasicTypeRegistry:396 - Adding type registration binary_wrapper -> org.hibernate.type.BasicTypeReference@1698ee84
2024-06-10 16:42:42 DEBUG BasicTypeRegistry:396 - Adding type registration wrapper-binary -> org.hibernate.type.BasicTypeReference@1698ee84
2024-06-10 16:42:42 DEBUG BasicTypeRegistry:396 - Adding type registration image -> org.hibernate.type.BasicTypeReference@10c626be
2024-06-10 16:42:42 DEBUG BasicTypeRegistry:396 - Adding type registration blob -> org.hibernate.type.BasicTypeReference@2fc0cc3
2024-06-10 16:42:42 DEBUG BasicTypeRegistry:396 - Adding type registration java.sql.Blob -> org.hibernate.type.BasicTypeReference@2fc0cc3
2024-06-10 16:42:42 DEBUG BasicTypeRegistry:396 - Adding type registration materialized_blob -> org.hibernate.type.BasicTypeReference@328cf0e1
2024-06-10 16:42:42 DEBUG BasicTypeRegistry:396 - Adding type registration materialized_blob_wrapper -> org.hibernate.type.BasicTypeReference@63b1d4fa
2024-06-10 16:42:42 DEBUG BasicTypeRegistry:396 - Adding type registration short -> org.hibernate.type.BasicTypeReference@42e3ede4
2024-06-10 16:42:42 DEBUG BasicTypeRegistry:396 - Adding type registration short -> org.hibernate.type.BasicTypeReference@42e3ede4
2024-06-10 16:42:42 DEBUG BasicTypeRegistry:396 - Adding type registration java.lang.Short -> org.hibernate.type.BasicTypeReference@42e3ede4
2024-06-10 16:42:42 DEBUG BasicTypeRegistry:396 - Adding type registration integer -> org.hibernate.type.BasicTypeReference@201b6b6f
2024-06-10 16:42:42 DEBUG BasicTypeRegistry:396 - Adding type registration int -> org.hibernate.type.BasicTypeReference@201b6b6f
2024-06-10 16:42:42 DEBUG BasicTypeRegistry:396 - Adding type registration java.lang.Integer -> org.hibernate.type.BasicTypeReference@201b6b6f
2024-06-10 16:42:42 DEBUG BasicTypeRegistry:396 - Adding type registration long -> org.hibernate.type.BasicTypeReference@75459c75
2024-06-10 16:42:42 DEBUG BasicTypeRegistry:396 - Adding type registration long -> org.hibernate.type.BasicTypeReference@75459c75
2024-06-10 16:42:42 DEBUG BasicTypeRegistry:396 - Adding type registration java.lang.Long -> org.hibernate.type.BasicTypeReference@75459c75
2024-06-10 16:42:42 DEBUG BasicTypeRegistry:396 - Adding type registration float -> org.hibernate.type.BasicTypeReference@183e8023
2024-06-10 16:42:42 DEBUG BasicTypeRegistry:396 - Adding type registration float -> org.hibernate.type.BasicTypeReference@183e8023
2024-06-10 16:42:42 DEBUG BasicTypeRegistry:396 - Adding type registration java.lang.Float -> org.hibernate.type.BasicTypeReference@183e8023
2024-06-10 16:42:42 DEBUG BasicTypeRegistry:396 - Adding type registration double -> org.hibernate.type.BasicTypeReference@45efc20d
2024-06-10 16:42:42 DEBUG BasicTypeRegistry:396 - Adding type registration double -> org.hibernate.type.BasicTypeReference@45efc20d
2024-06-10 16:42:42 DEBUG BasicTypeRegistry:396 - Adding type registration java.lang.Double -> org.hibernate.type.BasicTypeReference@45efc20d
2024-06-10 16:42:42 DEBUG BasicTypeRegistry:396 - Adding type registration big_integer -> org.hibernate.type.BasicTypeReference@3e5499cc
2024-06-10 16:42:42 DEBUG BasicTypeRegistry:396 - Adding type registration java.math.BigInteger -> org.hibernate.type.BasicTypeReference@3e5499cc
2024-06-10 16:42:42 DEBUG BasicTypeRegistry:396 - Adding type registration big_decimal -> org.hibernate.type.BasicTypeReference@67ab1c47
2024-06-10 16:42:42 DEBUG BasicTypeRegistry:396 - Adding type registration java.math.BigDecimal -> org.hibernate.type.BasicTypeReference@67ab1c47
2024-06-10 16:42:42 DEBUG BasicTypeRegistry:396 - Adding type registration character -> org.hibernate.type.BasicTypeReference@b78a709
